Fantome;Source (MeV);Angle (degres);Pastille 1;Pastille 2;Pastille 3;Pastille 4;Pastille 5;Pastille 6;Moyenne r‚elle (barns);Ecart type r‚el
M1A;6;60;9,80E-01;1,00E+00;0,00E+00;4,88E-01;9,70E-01;9,86E-01;2,25E-06;8,78E-07
M1A;6;120;1,00E+00;9,58E-01;2,33E-01;0,00E+00;6,21E-01;9,80E-01;2,01E-06;8,78E-07
M1E;15;180;9,83E-01;4,66E-01;1,00E+00;7,17E-01;0,00E+00;2,75E-01;1,25E-06;6,15E-07
M1E;15;195;8,98E-01;5,68E-01;9,33E-01;1,00E+00;0,00E+00;3,46E-03;1,37E-06;7,13E-07
M1C;7;315;0,00E+00;4,26E-01;9,46E-01;9,37E-01;1,00E+00;5,68E-01;2,15E-06;9,14E-07
M1A;20;210;2,70E-01;2,11E-01;8,40E-01;1,00E+00;4,25E-01;0,00E+00;7,36E-07;1,74E-07
M1A;8;225;9,01E-01;1,00E+00;9,78E-01;8,86E-01;4,37E-01;0,00E+00;2,41E-06;9,10E-07
M1E;4;105;1,00E+00;9,70E-01;3,58E-02;0,00E+00;9,75E-01;9,96E-01;1,37E-06;9,08E-07
M1A;8;240;3,76E-01;9,82E-01;1,00E+00;9,39E-01;8,69E-01;0,00E+00;2,40E-06;8,35E-07
M1E;5;90;9,89E-01;8,48E-01;0,00E+00;4,37E-03;8,26E-01;1,00E+00;1,56E-06;1,00E-06
M1A;7;105;1,00E+00;9,21E-01;1,19E-01;0,00E+00;9,97E-01;9,40E-01;2,29E-06;8,71E-07
M1E;9;75;9,69E-01;1,00E+00;0,00E+00;1,42E-01;9,85E-01;9,81E-01;2,29E-06;1,24E-06
M1E;6;135;9,55E-01;1,00E+00;2,64E-01;0,00E+00;3,91E-02;9,11E-01;1,65E-06;1,21E-06
M1E;20;45;1,00E+00;4,78E-02;0,00E+00;9,40E-01;9,86E-01;7,01E-01;8,17E-07;2,42E-07
M1C;5;195;9,69E-01;6,76E-01;1,00E+00;9,71E-01;0,00E+00;9,46E-04;1,57E-06;1,04E-06
M1A;7;30;8,01E-01;4,96E-02;0,00E+00;8,30E-01;1,00E+00;9,66E-01;2,10E-06;9,82E-07
M1E;4;300;0,00E+00;2,63E-01;9,99E-01;9,91E-01;1,00E+00;7,43E-01;1,40E-06;7,94E-07
M1C;10;60;9,61E-01;9,04E-01;0,00E+00;3,96E-01;9,80E-01;1,00E+00;2,45E-06;9,06E-07
M1C;6;195;9,76E-01;6,82E-01;1,00E+00;9,74E-01;3,56E-03;0,00E+00;1,82E-06;1,18E-06
M1E;10;330;0,00E+00;1,42E-01;9,82E-01;9,58E-01;1,00E+00;4,42E-01;2,10E-06;1,22E-06
M1E;10;150;9,64E-01;1,00E+00;2,17E-01;0,00E+00;3,23E-03;9,10E-01;1,89E-06;1,27E-06
M1C;15;255;2,91E-01;9,86E-01;7,98E-01;8,27E-01;1,00E+00;0,00E+00;1,71E-06;4,11E-07
M1C;7;330;0,00E+00;1,76E-01;8,79E-01;1,00E+00;5,37E-01;3,93E-01;1,68E-06;9,07E-07
M1A;9;165;1,00E+00;9,89E-01;8,50E-01;2,45E-02;0,00E+00;9,84E-01;2,30E-06;1,14E-06
M1C;9;150;9,96E-01;1,00E+00;9,54E-01;0,00E+00;5,25E-02;9,17E-01;2,25E-06;1,18E-06
M1C;6;270;0,00E+00;7,43E-01;9,91E-01;1,00E+00;7,22E-01;5,56E-02;1,97E-06;9,03E-07
M1A;15;75;8,95E-01;1,00E+00;0,00E+00;2,77E-01;9,21E-01;9,39E-01;1,65E-06;3,59E-07
M1A;7;300;0,00E+00;9,71E-01;1,00E+00;9,90E-01;9,74E-01;3,59E-01;2,38E-06;8,31E-07
M1C;5;255;1,21E-01;9,75E-01;1,00E+00;9,88E-01;9,41E-01;0,00E+00;1,83E-06;8,87E-07
M1C;7;60;9,56E-01;8,69E-01;0,00E+00;3,65E-01;9,86E-01;1,00E+00;2,22E-06;9,04E-07
M1E;15;75;8,54E-01;1,00E+00;0,00E+00;1,76E-01;9,12E-01;8,24E-01;1,56E-06;6,46E-07
M1C;4;165;9,94E-01;1,00E+00;3,67E-01;1,94E-02;0,00E+00;4,65E-01;1,01E-06;8,21E-07
M1E;20;180;9,26E-01;4,54E-01;1,00E+00;7,07E-01;0,00E+00;3,80E-01;7,08E-07;2,42E-07
M1E;9;30;8,36E-01;0,00E+00;1,74E-02;2,81E-01;1,00E+00;9,34E-01;1,87E-06;1,24E-06
M1C;5;90;9,99E-01;7,84E-01;0,00E+00;7,85E-03;7,28E-01;1,00E+00;1,65E-06;8,55E-07
M1A;10;255;2,25E-01;9,01E-01;9,56E-01;9,46E-01;1,00E+00;0,00E+00;2,54E-06;8,29E-07
M1E;7;90;9,85E-01;8,90E-01;0,00E+00;1,00E-02;8,83E-01;1,00E+00;1,96E-06;1,13E-06
M1A;10;285;0,00E+00;9,58E-01;1,00E+00;9,99E-01;9,78E-01;1,89E-01;2,57E-06;8,18E-07
M1E;10;120;9,61E-01;1,00E+00;2,63E-01;0,00E+00;2,90E-01;9,74E-01;2,06E-06;1,17E-06
M1A;20;360;4,47E-01;0,00E+00;1,00E+00;7,57E-01;7,54E-01;8,29E-01;8,20E-07;2,18E-07
M1E;15;285;0,00E+00;1,00E+00;8,45E-01;8,43E-01;9,75E-01;1,59E-01;1,58E-06;5,95E-07
M1C;15;30;8,82E-01;1,36E-02;0,00E+00;1,00E+00;9,01E-01;8,70E-01;1,52E-06;6,17E-07
M1C;3;195;9,51E-01;6,17E-01;1,00E+00;9,55E-01;2,28E-04;0,00E+00;7,01E-07;4,99E-07
M1E;3;195;9,99E-01;4,19E-01;1,00E+00;9,94E-01;0,00E+00;5,23E-03;6,37E-07;4,93E-07
M1A;15;90;9,70E-01;7,31E-01;0,00E+00;5,78E-02;1,00E+00;9,65E-01;1,60E-06;3,08E-07
