Angle reel (degres);Pastille 1;Pastille 2;Pastille 3;Pastille 4;Pastille 5;Pastille 6;Moyenne reelle;Ecart type reel (degres);;
360;1,00E+00;8,35E-01;4,02E-04;0,00E+00;7,99E-01;9,98E-01;2,33E-07;1,62E-07;;
150;1,67E-01;9,93E-01;9,38E-01;1,00E+00;4,79E-01;0,00E+00;1,34E-06;6,19E-07;;
165;4,72E-02;9,61E-01;9,61E-01;1,00E+00;9,20E-01;0,00E+00;2,08E-06;1,14E-06;;
15;1,00E+00;9,70E-01;5,47E-02;0,00E+00;9,59E-01;9,95E-01;2,02E-06;1,07E-06;;
270;9,08E-01;0,00E+00;9,20E-01;1,00E+00;6,61E-01;9,56E-01;8,37E-07;2,09E-07;;
300;9,42E-01;3,07E-02;0,00E+00;7,60E-01;9,73E-01;1,00E+00;1,09E-07;6,89E-08;;
60;9,56E-01;1,00E+00;8,64E-01;0,00E+00;2,29E-02;9,17E-01;1,86E-06;1,18E-06;;
45;9,70E-01;1,00E+00;6,43E-01;0,00E+00;9,31E-02;9,36E-01;2,09E-06;1,18E-06;;
135;1,62E-01;9,47E-01;9,69E-01;1,00E+00;1,59E-01;0,00E+00;1,41E-08;9,79E-09;;
195;0,00E+00;9,61E-01;1,00E+00;9,98E-01;9,73E-01;3,88E-02;1,68E-06;1,03E-06;;
255;5,15E-02;0,00E+00;9,25E-01;1,00E+00;9,70E-01;9,19E-01;1,85E-06;1,19E-06;;
195;0,00E+00;9,37E-01;9,97E-01;1,00E+00;9,51E-01;4,94E-02;1,64E-08;9,36E-09;;
60;1,00E+00;9,93E-01;7,71E-01;0,00E+00;1,85E-02;8,77E-01;2,08E-07;1,38E-07;;
330;9,80E-01;2,03E-01;0,00E+00;2,64E-02;9,70E-01;1,00E+00;1,33E-06;1,13E-06;;
195;0,00E+00;7,43E-01;9,94E-01;1,00E+00;9,55E-01;9,59E-03;1,51E-08;1,04E-08;;
315;9,55E-01;8,62E-02;0,00E+00;8,93E-02;1,00E+00;9,99E-01;4,17E-08;3,48E-08;;
60;9,94E-01;1,00E+00;7,97E-01;0,00E+00;1,66E-02;8,68E-01;3,17E-07;2,08E-07;;
315;9,88E-01;3,90E-02;0,00E+00;4,04E-02;9,76E-01;1,00E+00;1,99E-07;1,84E-07;;
300;9,20E-01;3,85E-03;0,00E+00;5,74E-01;9,97E-01;1,00E+00;4,55E-08;3,35E-08;;
195;0,00E+00;1,00E+00;9,12E-01;8,85E-01;9,52E-01;6,79E-02;1,47E-06;6,49E-07;;
45;9,55E-01;9,55E-01;1,69E-01;0,00E+00;1,75E-01;1,00E+00;1,15E-06;7,64E-07;;
270;5,60E-01;0,00E+00;5,63E-01;1,00E+00;9,67E-01;9,92E-01;2,20E-06;1,14E-06;;
330;9,74E-01;1,24E-01;0,00E+00;1,23E-01;9,56E-01;1,00E+00;1,37E-08;1,08E-08;;
180;0,00E+00;8,24E-01;1,00E+00;9,79E-01;7,24E-01;1,43E-03;2,07E-07;1,34E-07;;
15;9,22E-01;1,00E+00;3,03E-02;0,00E+00;8,52E-01;9,41E-01;2,09E-06;1,34E-06;;
255;4,54E-02;0,00E+00;5,29E-01;9,77E-01;9,88E-01;1,00E+00;3,08E-07;2,08E-07;;
180;1,47E-03;1,00E+00;6,52E-01;7,20E-01;9,97E-01;0,00E+00;7,95E-07;2,21E-07;;
